label,degree,weighted_degree,betweenness,normalized_betweenness,eccentricity,closeness,network
Nearly Headless Nick,4,4,0.0,0.0,2,0.5166666666666667,harry_potter_and_the_order_of_the_phoenix
Percy Weasley,4,4,0.0,0.0,2,0.5166666666666667,harry_potter_and_the_order_of_the_phoenix
Lily Potter,7,7,14.33896103896104,0.01219299408074918,3,0.5157894736842106,harry_potter_and_the_deathly_hallows_part_2
Woman,3,3,0.0,0.0,2,0.5157894736842106,harry_potter_and_the_philosophers_stone
Man in a painting,3,3,0.0,0.0,2,0.5157894736842106,harry_potter_and_the_philosophers_stone
Merpeople,3,3,0.0,0.0,2,0.5157894736842106,harry_potter_and_the_philosophers_stone
Remus Lupin,7,7,25.04880952380953,0.02130000809847749,3,0.5157894736842106,harry_potter_and_the_deathly_hallows_part_2
Draco Malfoy,7,10,0.4,0.0003401360544217687,3,0.5157894736842106,harry_potter_and_the_deathly_hallows_part_2
Griphook,3,3,0.0,0.0,2,0.5157894736842106,harry_potter_and_the_philosophers_stone
Tom Riddle,5,8,0.25,0.0002040816326530612,3,0.5154639175257731,harry_potter_and_the_chamber_of_secrets
Cornelius Fudge,5,5,0.0,0.0,3,0.5154639175257731,harry_potter_and_the_chamber_of_secrets
Katie Bell,5,8,0.0,0.0,3,0.5135135135135135,harry_potter_and_the_half-blood_prince
Seamus Finnigan,6,6,0.0,0.0,3,0.5135135135135135,harry_potter_and_the_half-blood_prince
Sybill Trelawney,3,6,0.0,0.0,2,0.512396694214876,harry_potter_and_the_order_of_the_phoenix
Perkins,3,3,0.0,0.0,2,0.512396694214876,harry_potter_and_the_order_of_the_phoenix
Voldemort,2,4,0.0,0.0,2,0.5104166666666666,harry_potter_and_the_philosophers_stone
Garrick Ollivander,2,2,0.0,0.0,2,0.5104166666666666,harry_potter_and_the_philosophers_stone
Justin Finch-Fletchley,4,4,0.0,0.0,3,0.5102040816326531,harry_potter_and_the_chamber_of_secrets
Waiter,4,4,0.0,0.0,3,0.5102040816326531,harry_potter_and_the_chamber_of_secrets
Sorting Hat,4,4,0.0,0.0,3,0.5102040816326531,harry_potter_and_the_chamber_of_secrets
Fenrir Greyback,5,5,0.0,0.0,3,0.509090909090909,harry_potter_and_the_deathly_hallows_part_1
Lily Potter,5,5,0.0,0.0,3,0.509090909090909,harry_potter_and_the_deathly_hallows_part_1
Petunia Dursley,2,2,0.0,0.0,2,0.5081967213114754,harry_potter_and_the_order_of_the_phoenix
Seamus Finnigan,2,2,0.0,0.0,2,0.5081967213114754,harry_potter_and_the_order_of_the_phoenix
Dean Thomas,2,2,0.0,0.0,2,0.5081967213114754,harry_potter_and_the_order_of_the_phoenix
Parvati Patil,7,7,0.0,0.0,3,0.5064935064935064,harry_potter_and_the_prisoner_of_azkaban
All,7,7,0.0,0.0,3,0.5064935064935064,harry_potter_and_the_prisoner_of_azkaban
Dean Thomas,7,7,0.0,0.0,3,0.5064935064935064,harry_potter_and_the_prisoner_of_azkaban
Cho Chang,4,5,0.0,0.0,3,0.5061728395061729,harry_potter_and_the_goblet_of_fire
Waitress,4,4,0.0,0.0,3,0.5061728395061729,harry_potter_and_the_goblet_of_fire
Nigel Wolpert,4,4,0.0,0.0,3,0.5061728395061729,harry_potter_and_the_goblet_of_fire
Gregory Goyle,5,5,0.0,0.0,3,0.5051546391752577,harry_potter_and_the_deathly_hallows_part_2
Fleur Delacour,7,7,0.0,0.0,3,0.5051546391752577,harry_potter_and_the_deathly_hallows_part_2
Pomona Sprout,7,7,0.0,0.0,3,0.5051546391752577,harry_potter_and_the_deathly_hallows_part_2
Garrick Ollivander,7,7,0.0,0.0,3,0.5051546391752577,harry_potter_and_the_deathly_hallows_part_2
Filius Flitwick,7,7,0.0,0.0,3,0.5051546391752577,harry_potter_and_the_deathly_hallows_part_2
Oliver Wood,4,4,0.0,0.0,3,0.5051546391752577,harry_potter_and_the_deathly_hallows_part_2
Bill Weasley,7,9,0.0,0.0,3,0.5051546391752577,harry_potter_and_the_deathly_hallows_part_2
Professors,7,7,0.0,0.0,3,0.5051546391752577,harry_potter_and_the_deathly_hallows_part_2
Goblin,3,3,0.0,0.0,3,0.5050505050505051,harry_potter_and_the_chamber_of_secrets
Stanley Shunpike,4,6,0.0,0.0,3,0.5,harry_potter_and_the_prisoner_of_azkaban
Sirius Black,3,3,0.0,0.0,3,0.5,harry_potter_and_the_goblet_of_fire
Merpeople,6,6,0.0,0.0,3,0.5,harry_potter_and_the_deathly_hallows_part_2
Bogrod,6,6,0.0,0.0,3,0.5,harry_potter_and_the_deathly_hallows_part_2
Sirius Black,4,4,0.0,0.0,3,0.5,harry_potter_and_the_deathly_hallows_part_2
James Potter,4,4,0.0,0.0,3,0.5,harry_potter_and_the_deathly_hallows_part_2
Pius Thicknesse,4,4,0.0,0.0,3,0.5,harry_potter_and_the_deathly_hallows_part_2
Tom,4,4,0.0,0.0,3,0.5,harry_potter_and_the_prisoner_of_azkaban
Whomping Willow,2,2,0.0,0.0,3,0.5,harry_potter_and_the_chamber_of_secrets
Aragog,2,4,0.0,0.0,3,0.5,harry_potter_and_the_chamber_of_secrets
Mr. Granger,4,4,0.0,0.0,3,0.5,harry_potter_and_the_deathly_hallows_part_1
Griphook,6,12,0.0,0.0,3,0.5,harry_potter_and_the_deathly_hallows_part_2
Mrs. Granger,4,4,0.0,0.0,3,0.5,harry_potter_and_the_deathly_hallows_part_1
Fred Weasley,4,4,0.0,0.0,3,0.5,harry_potter_and_the_deathly_hallows_part_2
Bathilda Bagshot,2,2,0.0,0.0,3,0.495575221238938,harry_potter_and_the_deathly_hallows_part_1
Diary,1,1,0.0,0.0,3,0.495049504950495,harry_potter_and_the_chamber_of_secrets
Moaning Myrtle,2,2,0.0,0.0,3,0.4939759036144578,harry_potter_and_the_goblet_of_fire
Vernon Dursley,3,3,0.0,0.0,3,0.4936708860759494,harry_potter_and_the_prisoner_of_azkaban
Petunia Dursley,3,3,0.0,0.0,3,0.4936708860759494,harry_potter_and_the_prisoner_of_azkaban
Marge Dursley,3,3,0.0,0.0,3,0.4936708860759494,harry_potter_and_the_prisoner_of_azkaban
Corban Yaxley,2,2,0.0,0.0,3,0.49,harry_potter_and_the_deathly_hallows_part_2
Molly Weasley,4,4,0.0,0.0,3,0.49,harry_potter_and_the_deathly_hallows_part_2
Albus Dumbledore,4,4,5.261580086580083,0.004474132726683744,3,0.49,harry_potter_and_the_deathly_hallows_part_2
Students,2,2,0.0,0.0,3,0.4871794871794872,harry_potter_and_the_half-blood_prince
Aberforth Dumbledore,3,3,0.0,0.0,3,0.4851485148514851,harry_potter_and_the_deathly_hallows_part_2
Ghosts,3,3,0.0,0.0,3,0.4851485148514851,harry_potter_and_the_deathly_hallows_part_2
Wizard,1,1,0.0,0.0,3,0.4810126582278481,harry_potter_and_the_half-blood_prince
Narcissa Malfoy,9,9,0.0,0.0,3,0.4786324786324787,harry_potter_and_the_deathly_hallows_part_1
Severus Snape,9,9,0.0,0.0,3,0.4786324786324787,harry_potter_and_the_deathly_hallows_part_1
Charity Burbage,9,9,0.0,0.0,3,0.4786324786324787,harry_potter_and_the_deathly_hallows_part_1
